compound	BLK_1	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D10	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D10	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4529	NA	NA
ft1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32422	NA	NA	NA	NA	NA	NA	28914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40923	NA	NA	NA	NA	NA	NA
ft15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17702	NA	NA	NA	NA	NA	NA	NA	NA	NA	22731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft14	NA	27581	57082	13866	39333	27439	69279	60377	17301	32650	17611	14148	25186	22419	22738	NA	30651	NA	20205	NA	NA	27987	NA	NA	NA	NA	NA	25018	26871	NA	30409	32796	32900	29684	32652	21450	NA	31433	25877	26729	30005	25450	17388	23891	NA	21959	28726	17632	19599	26492	28923	NA	NA	NA	NA	31506	NA	9344	11396	NA	NA	35112	NA	NA	NA
ft27	NA	NA	NA	29613	NA	NA	NA	NA	66603	NA	61391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft10	27737	45739	NA	61694	70573	26975	18347	83230	113893	75640	367759	75356	20632	16804	33017	NA	NA	28410	31139	40490	36279	154231	NA	19480	22357	29112	NA	22085	28027	25384	14682	14411	55039	20905	15163	14963	NA	14560	20021	14087	21263	24863	NA	16691	20548	18443	NA	28616	15024	18317	19795	31348	NA	29324	NA	26552	29577	25951	26894	NA	81880	24608	NA	94771	27862
ft23	NA	NA	NA	NA	23163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16014	NA	NA	NA	190294	NA	NA	26511	NA	NA	NA	32943	NA	NA	NA
ft6	NA	296382	772278	408450	383623	306822	272018	413446	267489	282673	652869	646557	217060	NA	32667	NA	NA	188996	65375	NA	85283	254318	28580	32511	30148	NA	46507	NA	62144	21896	NA	135368	37331	80414	124084	337414	NA	41301	116560	177740	81548	34724	224981	101162	49810	130129	154439	87242	102260	27383	191328	129131	NA	24843	84082	20465	34245	35956	NA	119184	211547	71099	106960	194928	56625
ft4	NA	NA	32721	38337	38321	41513	NA	NA	42040	NA	32890	NA	NA	NA	NA	NA	37543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31149	NA	22161	NA	NA	NA	NA	26844	NA	25978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft32	NA	NA	NA	NA	NA	NA	NA	NA	789010	450574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	146494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft3	3087845	11746429	11807539	11645275	NA	NA	1868870	9564662	12824326	NA	12595857	10166203	NA	10478680	NA	11147487	6933827	10579533	11013857	8466253	5416490	9811997	9047601	8251996	8916067	2634756	11318076	11913202	12363099	10008054	NA	10556813	10753989	NA	NA	11140935	NA	8698131	11039212	NA	11988389	9692154	11751920	NA	NA	12332794	10643416	12106356	12329633	9762118	11347890	11270084	NA	9077617	10705087	8533311	NA	NA	10326223	11163360	11536262	11583243	11244116	7633271	8439575
ft17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3636764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4757657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4503430	NA	NA	3435600	NA	NA	NA
ft18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	901588	NA	NA	NA	692267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft16	NA	NA	342901	NA	NA	259794	NA	NA	NA	NA	NA	NA	NA	NA	266427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4648463	NA	NA	NA	NA	NA	NA	NA	369912	NA	NA	NA	NA	303095	NA	NA	NA	NA	235121	NA	NA	295742	NA	NA	338951	NA	NA	NA	NA	NA	83889	255023	NA	NA	NA	NA	143058	NA	NA
ft9	47739	248653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	226465	NA	NA	NA	NA	295323	NA	304424	NA	NA	NA	NA	NA	NA	NA	238099	NA	217529	182326	NA	345198	NA	239307	270085	294311	255524	256540	391166	NA	NA	NA	291179	271882	NA	318019	NA	NA	399319	NA	560550	350772	316319	425099	NA	NA	NA	281201	240707	NA
ft20	NA	NA	NA	NA	NA	51156	NA	NA	NA	NA	NA	NA	NA	NA	33344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	499341	NA	NA	NA	NA	NA	NA	NA
ft31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft11	NA	131449	317826	293821	180579	NA	106092	97313	71681	305761	47976	120914	NA	NA	192191	110740	106884	NA	133291	NA	NA	NA	NA	NA	NA	NA	131986	126798	134563	123106	108641	NA	NA	105496	131731	116341	NA	NA	NA	NA	130214	NA	NA	NA	NA	NA	100042	NA	101437	NA	106004	145327	64297	144699	170160	179154	256631	157781	NA	NA	225556	NA	NA	NA	NA
ft24	NA	NA	NA	NA	NA	NA	NA	17236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73766	NA	NA	NA	NA	518951	NA	NA	251908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29028	NA	NA	NA	NA	NA	NA	NA	NA	461079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	471837	NA
ft7	794205	642581	666747	363043	660016	639617	520310	567467	651925	558825	707310	607877	NA	653108	723275	775629	437978	657889	862910	804771	823278	806361	43632	705708	111078	683287	767287	736762	737284	619661	656354	691778	455342	626036	688343	726044	604268	716419	733603	697840	749353	540845	705224	727296	721460	771496	620616	789386	796615	594282	827113	810442	NA	668805	748193	484283	743812	734782	792678	710102	754721	653180	816725	601487	616858
ft13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	316665	NA	NA	200669	102149	NA	NA	NA	NA	327664	NA	NA	613210	161895	NA	NA	102675	NA	100804	NA	NA	NA	NA	198904	87201	NA	211232	NA	83006	NA	160258	73737	NA	NA	145039	NA	NA	NA	NA	NA	NA	123373	143297	NA	NA	NA	NA	NA	NA	500866	594265	566772	120360	67850	553391
ft12	NA	358689	NA	NA	NA	NA	NA	NA	NA	NA	346990	NA	348502	NA	NA	NA	NA	674531	NA	NA	NA	NA	647912	NA	1499321	773224	672232	NA	NA	NA	402459	NA	NA	NA	NA	NA	NA	409656	NA	379631	NA	373478	NA	NA	NA	NA	NA	NA	NA	396076	NA	381774	NA	NA	NA	632552	382286	366336	NA	NA	NA	NA	684850	NA	857199
ft26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	596576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35010	68281	NA	NA	NA	NA
ft30	NA	NA	NA	NA	2276	3146	NA	NA	NA	9934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft21	54356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18691	NA	47332	NA	143289	157716	NA	NA	65417	NA	156518	NA	177480	NA	47010	NA	NA	NA	46110	NA	NA	92262	433749	56990	NA	NA	18705	NA	NA	NA	NA	NA	23729	NA	NA	57336	NA	NA	NA	NA	144296	338187	NA	NA	53565	NA	NA	NA	NA	NA	182058
ft5	293975	20396180	11303355	21700873	19473723	15050304	12075764	13904930	13209697	27340952	20868580	23866475	21678701	549421	383934	450427	669224	306243	202079	272430	280379	464171	256307	232292	277170	419197	455112	411711	349721	223329	377175	406451	252863	296770	454031	288191	197354	434982	300724	NA	264018	NA	296696	451811	388206	267593	228611	381725	247462	260083	241683	451548	NA	324904	326959	510233	241717	260317	306531	8055302	8744385	NA	8241095	3097455	7765103
ft22	NA	NA	30686512	NA	NA	NA	NA	NA	28157312	NA	NA	NA	9030820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft28	NA	NA	10023228	NA	NA	NA	NA	NA	NA	NA	1218336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1732890	NA
ft25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15931	NA	118890	25402	NA	NA	NA	NA	NA	NA	NA	NA	20059	NA	31796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73151	NA	NA	9741	NA	32213	NA	NA	NA	NA	NA	NA	NA	NA	NA	19803	34275	71147	NA	NA	NA	NA	NA	NA	NA
ft19	NA	NA	NA	569109	309687	492820	NA	484015	NA	225895	NA	NA	879202	NA	NA	NA	NA	NA	28270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64214	NA	NA	NA	NA	NA	NA	176444	187154	190340	56342	153186	172245
ft8	85850	NA	241321	NA	670580	867183	2234476	790465	2635149	NA	627897	1101872	1441903	194492	815264	472090	NA	94511	84595	95306	142262	104306	93256	92827	83839	119610	116699	159341	152799	161567	92724	83386	93425	83412	88082	79654	162761	117502	81892	109094	169283	62211	64379	99059	79818	64281	77086	87663	88681	85029	80878	110665	NA	81639	88952	91927	94534	96112	100667	264333	293010	331966	309331	231180	292479
ft29	NA	NA	NA	NA	NA	NA	NA	NA	NA	501406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55054	NA	NA	NA
ft35	46489	NA	NA	NA	NA	NA	34341	NA	NA	NA	NA	NA	NA	37419	35084	40408	NA	28660	40363	43150	47778	30148	NA	40605	28642	33546	34006	38616	42444	27382	34315	39568	33155	35432	36757	36505	108718	40610	39014	50185	44129	29534	34838	40439	41878	64295	34553	40664	43669	33058	47571	42537	NA	33003	36653	39112	53914	50873	28844	NA	25805	NA	33466	79722	NA
ft44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	109134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft41	14216	NA	NA	NA	26336	NA	NA	NA	NA	NA	NA	NA	NA	37785	49898	17227	40395	NA	12306	19500	6667	NA	16737	17421	NA	23324	24476	40615	43842	31131	33487	42349	28988	79324	30656	34884	NA	18664	40542	30057	35082	18061	39853	22208	32571	33072	32141	39367	31287	30138	27642	22413	NA	NA	28871	31833	17730	25316	NA	NA	NA	21133	21902	NA	NA
ft42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9749	NA	NA	26655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft37	NA	NA	25278	NA	NA	NA	NA	15398	NA	9671	NA	NA	NA	57689	108932	227900	NA	149608	63708	23555	NA	449555	104783	123232	103810	146183	94423	NA	38749	38207	44575	28857	NA	29691	37866	51040	NA	NA	25191	11193	NA	NA	11916	15377	NA	NA	NA	9500	NA	NA	24704	9269	NA	77287	NA	110748	57524	NA	506976	241733	231134	471934	170894	174570	217902
ft51	NA	NA	NA	NA	NA	17159	19680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26027	NA	NA	NA	NA	NA	17212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7807	NA	NA	5401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft40	NA	NA	NA	NA	NA	NA	17931	18824	24390	NA	NA	NA	NA	14042	14664	NA	NA	NA	NA	NA	18348	NA	NA	NA	NA	30331	NA	36727	13541	24336	NA	NA	NA	12773	15544	83267	NA	NA	26029	33603	NA	NA	121507	NA	NA	NA	NA	25200	NA	NA	NA	61586	NA	NA	45810	18659	12986	NA	NA	NA	18363	NA	NA	NA	NA
ft46	NA	NA	NA	NA	NA	NA	NA	NA	34267	NA	NA	NA	23842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft36	289695	228513	NA	212307	227370	226986	29544	204346	227360	112592	244878	200779	NA	240360	260393	15018	160854	NA	NA	NA	NA	NA	NA	NA	NA	NA	197083	258063	256842	214059	226835	24846	241973	230988	249880	255051	83789	149593	249734	245021	261494	199979	257510	247408	247254	262006	229044	263536	298867	220380	277973	277301	574323	NA	NA	NA	NA	279991	NA	200073	254771	NA	NA	209822	NA
ft54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30050	NA	NA	NA	NA	NA	78274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft50	NA	NA	NA	NA	5289	NA	NA	NA	NA	NA	NA	NA	NA	13711	16880	7858	NA	NA	NA	NA	53159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10498	NA	NA	NA	12590	17847	5555	NA	NA	NA	7777	NA	NA	NA	NA	NA	33876	67939	NA	NA	NA	5119	NA	NA	NA	NA	NA
ft45	NA	NA	NA	92993	103526	NA	61660	NA	NA	76745	NA	83970	237129	NA	NA	NA	NA	77948	NA	NA	55217	78398	NA	45113	NA	NA	NA	NA	288975	103016	NA	NA	NA	NA	NA	NA	NA	NA	284302	114310	NA	230446	NA	NA	NA	NA	133553	NA	NA	249198	NA	NA	NA	24590	NA	NA	NA	NA	NA	NA	54513	NA	100643	NA	NA
ft34	1002343	990801	954162	842541	913759	981654	804551	834932	1019044	781259	1000189	843602	876133	943816	1127838	930852	672032	881802	1125735	970443	1049332	1011311	820418	922047	895673	890958	971113	1067854	1056807	882738	1004701	1042801	997435	976898	994786	1013505	916410	1003197	1044834	1006273	1141658	812705	1064906	1001207	993779	1162133	952874	1127704	1144389	947330	1183988	1148693	128976	844348	966872	960299	1074313	998251	1014661	956832	950124	948174	925833	818951	834366
ft48	210922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	386070	NA	NA	NA	NA	368260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	309698	NA	NA	350472	440785	NA	NA	NA	NA	NA	NA	NA
ft47	NA	NA	NA	18632	NA	NA	NA	NA	27399	NA	NA	NA	NA	NA	NA	38403	23633	NA	NA	NA	NA	NA	NA	NA	NA	94945	85980	NA	NA	NA	251154	NA	NA	14226	NA	22557	NA	NA	NA	NA	13836	NA	252732	NA	NA	15683	NA	NA	NA	121878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft33	NA	5952867	15103224	9200219	6154350	5121116	7955775	5604743	14532199	11731561	10029364	9287453	10578996	11938710	19454137	7797311	9887617	9612772	1662476	NA	4204216	5531943	1159199	2415029	1172281	4215045	2538268	NA	5038043	8574730	14706580	5406045	2451159	6652200	7432442	7088997	NA	1806969	4088429	6288847	1225489	589757	3176216	2135257	2382977	567077	2560027	3800115	1389446	1381802	2813006	7439770	NA	1590143	5988827	5798614	504576	971349	556144	6078662	6432223	5648124	6040311	4993860	5444535
ft43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	299835	533500	NA	NA	NA	NA	NA	NA	NA	602178	NA	NA	NA	NA	NA	8804595	NA	NA	NA	NA	NA	1138556	NA	NA	NA	NA	NA	1310545	NA	NA	NA	NA	NA	NA	442800	NA	NA	NA	2161835	NA	NA	NA
ft39	181060	281596	NA	NA	NA	114516	NA	235104	366624	NA	NA	NA	NA	NA	368965	NA	NA	309513	156608	269763	223682	NA	240834	254375	133679	973287	NA	310472	300846	NA	388130	NA	NA	348660	263120	NA	141211	326158	416410	357653	NA	275926	214967	NA	NA	377043	322899	363429	299974	857808	2198379	NA	122756	277181	1338092	NA	308501	187005	134006	210334	NA	NA	NA	244214	NA
ft52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101083	603751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft49	233944	NA	NA	NA	NA	NA	NA	58794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101587	NA	NA	191929	NA	NA	NA	NA	NA	66256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	108053	NA	131817	NA	2403	NA	NA	NA	120941	NA	NA	NA	NA	NA	NA	126352	22908	36856	NA	NA	NA	187657	NA	NA
ft38	103531	240146	NA	NA	NA	240150	191687	210552	NA	NA	NA	NA	NA	NA	NA	NA	156696	210459	166945	221325	250843	NA	70344	233501	NA	197998	250656	NA	NA	NA	NA	NA	247562	NA	252461	NA	102504	251667	NA	265522	269726	NA	259345	NA	253551	279583	238038	262863	289152	NA	312413	282277	NA	183483	NA	232172	NA	266533	194959	240496	179190	NA	NA	NA	NA
ft63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft55	64721	NA	547967	353290	NA	15183	213916	326184	NA	334994	569943	465287	197350	NA	2114063	336215	1622735	56271	75017	54928	63757	177343	60211	66273	62937	68145	59288	1297439	1904967	382917	419403	NA	NA	90516	87668	411037	NA	NA	NA	71059	NA	NA	137364	NA	NA	99037	50986	136313	129143	NA	266675	158236	NA	54751	197702	62904	69580	116185	83284	277532	303130	322677	283180	266577	260435
ft61	NA	NA	173892	NA	NA	NA	245068	NA	222917	NA	551017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft56	NA	19516608	NA	17419504	17751626	52081	16919438	16972343	NA	NA	NA	NA	17071526	15324198	20309690	3810168	13344302	16419501	19009123	NA	18617823	NA	14135378	16549139	12845736	15673418	18015775	NA	20106476	16953868	18151085	3711305	11933406	NA	19956139	NA	NA	6673969	17964183	14270766	NA	7636999	19910711	NA	NA	20214846	19044122	7741798	19124031	16369404	7632993	NA	NA	NA	6093802	3364636	18826894	NA	5199049	17198480	17547860	13531942	16550037	5787036	3064635
ft59	10870900	NA	NA	NA	NA	10600047	NA	NA	12698556	10506815	10867512	10296753	6682192	NA	NA	345114	NA	NA	NA	11548700	NA	9194560	NA	NA	NA	9721280	NA	12352688	NA	NA	NA	18332506	11046397	10437890	NA	12975126	NA	10723116	NA	11012185	12553106	17660027	NA	11354489	10497301	NA	11552142	12435871	NA	NA	12545230	12193348	NA	11265058	18379172	9584353	NA	12892897	13697664	116621	NA	NA	NA	14039558	14878999
ft60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19654652	NA	NA	NA	NA	NA	NA	NA	NA	NA	6189560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft64	NA	NA	NA	71424	NA	NA	NA	NA	NA	NA	NA	NA	NA	17012	NA	6044	NA	4672	NA	NA	NA	NA	NA	3728	NA	NA	5235	16566	33150	NA	NA	NA	19498	22509	29763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4339	NA	NA	NA	NA	NA	38568	5774	NA	NA	NA	NA	NA	NA	NA	10694	NA	NA	6204
ft65	NA	NA	93968	NA	NA	78007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76327
ft58	33032	NA	NA	40039	24765	NA	20715	NA	NA	44560	36383	31179	NA	32876	NA	NA	36656	NA	NA	NA	NA	NA	34388	NA	43798	39785	NA	NA	NA	NA	NA	NA	32826	36833	32200	21518	NA	35859	NA	NA	NA	NA	NA	26456	NA	NA	23994	NA	NA	NA	NA	NA	NA	34471	21404	NA	NA	21357	NA	NA	NA	51568	43383	39502	41890
ft57	NA	207660	233571	226244	211488	238583	NA	NA	NA	201882	205758	NA	NA	NA	241321	219034	NA	196044	205811	NA	NA	194040	182960	NA	181091	211166	228978	NA	211844	232075	NA	NA	NA	188050	NA	221477	NA	NA	NA	200897	NA	NA	NA	NA	204239	NA	184675	NA	NA	NA	201219	NA	NA	NA	193292	NA	227087	216421	NA	NA	228288	225074	215582	69647	NA
ft62	NA	NA	NA	NA	NA	235481	562020	345551	263898	NA	NA	163852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	166675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	519232	NA	1296557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	459795	NA	NA
